geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2009,M,Y55-64,ED0-2,84.9,Austria,77.6
AT,2009,M,Y40-59,ED3_4,796.1,Austria,77.6
AT,2009,M,Y15-74,ED3_4,1934.1,Austria,77.6
AT,2009,M,Y25-64,ED5-8,480.2,Austria,77.6
AT,2009,M,Y55-59,TOTAL,237.2,Austria,77.6
AT,2009,M,Y15-24,ED0-2,250.6,Austria,77.6
AT,2009,M,Y25-39,ED0-2,85.1,Austria,77.6
AT,2009,M,Y25-29,ED5-8,44.5,Austria,77.6
AT,2009,M,Y15-59,ED5-8,442.6,Austria,77.6
AT,2009,M,Y25-64,TOTAL,2273.2,Austria,77.6
AT,2009,M,Y15-19,ED3_4,27.9,Austria,77.6
AT,2009,M,Y25-74,ED5-8,556.2,Austria,77.6
AT,2009,M,Y25-49,ED5-8,329,Austria,77.6
AT,2009,M,Y60-64,ED0-2,40.1,Austria,77.6
AT,2009,M,Y50-74,ED5-8,227.2,Austria,77.6
AT,2009,M,Y20-24,TOTAL,247.5,Austria,77.6
AT,2009,M,Y65-69,ED3_4,127.5,Austria,77.6
AT,2009,M,Y15-74,TOTAL,3127,Austria,77.6
AT,2009,M,Y25-39,ED3_4,579,Austria,77.6
AT,2009,M,Y50-54,TOTAL,284.6,Austria,77.6
AT,2009,M,Y45-49,TOTAL,343.5,Austria,77.6
AT,2009,M,Y50-54,ED5-8,57.4,Austria,77.6
AT,2009,M,Y15-39,ED3_4,810.9,Austria,77.6
AT,2009,M,Y50-64,ED3_4,459.6,Austria,77.6
AT,2009,M,Y15-64,ED5-8,488.3,Austria,77.6
AT,2009,M,Y15-19,TOTAL,243.1,Austria,77.6
