unit,sex,statinfo,geography,date,value
YR,F,LE_0,DE,2015,83.1
YR,F,LE_0,DK,2015,82.7
YR,F,LE_0,EE,2015,82.2
YR,F,LE_0,EL,2015,83.7
YR,F,LE_0,ES,2015,85.7
YR,F,LE_0,EU27_2020,2015,83.3
YR,F,LE_0,EU28,2015,83.3
YR,F,LE_0,FI,2015,84.4
YR,F,LE_0,FR,2015,85.6
YR,F,LE_0,HR,2015,80.5
YR,F,LE_0,HU,2015,79.0
YR,F,LE_0,IE,2015,83.4
YR,F,LE_0,IS,2015,83.8
YR,F,LE_0,IT,2015,84.9
YR,F,LE_0,LT,2015,79.7
YR,F,LE_0,LU,2015,84.7
YR,F,LE_0,LV,2015,79.5
YR,F,LE_0,MT,2015,84.1
YR,F,LE_0,NL,2015,83.2
YR,F,LE_0,NO,2015,84.2
YR,F,LE_0,PL,2015,81.6
YR,F,LE_0,PT,2015,84.3
YR,F,LE_0,RO,2015,78.6
YR,F,LE_0,SE,2015,84.1
YR,F,LE_0,SI,2015,83.9
YR,F,LE_0,SK,2015,80.2
YR,F,LE_0,UK,2015,82.8
YR,M,LE_0,AT,2015,78.8
YR,M,LE_0,BE,2015,78.7
YR,M,LE_0,BG,2015,71.2
YR,M,LE_0,CH,2015,80.8
YR,M,LE_0,CY,2015,79.9
YR,M,LE_0,CZ,2015,75.7
YR,M,LE_0,DE,2015,78.3
YR,M,LE_0,DK,2015,78.8
YR,M,LE_0,EE,2015,73.2
YR,M,LE_0,EL,2015,78.5
YR,M,LE_0,ES,2015,80.1
YR,M,LE_0,EU27_2020,2015,77.7
YR,M,LE_0,EU28,2015,77.9
YR,M,LE_0,FI,2015,78.7
YR,M,LE_0,FR,2015,79.2
YR,M,LE_0,HR,2015,74.4
YR,M,LE_0,HU,2015,72.3
YR,M,LE_0,IE,2015,79.6
YR,M,LE_0,IS,2015,81.2
YR,M,LE_0,IT,2015,80.3
YR,M,LE_0,LT,2015,69.2
YR,M,LE_0,LU,2015,80.0
YR,M,LE_0,LV,2015,69.7
YR,M,LE_0,MT,2015,79.8
YR,M,LE_0,NL,2015,79.9
YR,M,LE_0,NO,2015,80.5
YR,M,LE_0,PL,2015,73.5
YR,M,LE_0,PT,2015,78.1
YR,M,LE_0,RO,2015,71.4
YR,M,LE_0,SE,2015,80.4
YR,M,LE_0,SI,2015,77.8
YR,M,LE_0,SK,2015,73.1
YR,M,LE_0,UK,2015,79.2
YR,F,LE_0,AT,2016,84.1
YR,F,LE_0,BE,2016,84.0
YR,F,LE_0,BG,2016,78.5
YR,F,LE_0,CH,2016,85.6
YR,F,LE_0,CY,2016,84.9
YR,F,LE_0,CZ,2016,82.1
YR,F,LE_0,DE,2016,83.5
YR,F,LE_0,DK,2016,82.8
YR,F,LE_0,EE,2016,82.2
YR,F,LE_0,EL,2016,84.0
YR,F,LE_0,ES,2016,86.3
YR,F,LE_0,EU27_2020,2016,83.7
YR,F,LE_0,EU28,2016,83.6
YR,F,LE_0,FI,2016,84.4
YR,F,LE_0,FR,2016,85.7
YR,F,LE_0,HR,2016,81.3
YR,F,LE_0,HU,2016,79.7
YR,F,LE_0,IE,2016,83.6
YR,F,LE_0,IS,2016,84.1
YR,F,LE_0,IT,2016,85.6
YR,F,LE_0,LT,2016,80.1
YR,F,LE_0,LU,2016,85.4
YR,F,LE_0,LV,2016,79.6
YR,F,LE_0,MT,2016,84.4
YR,F,LE_0,NL,2016,83.2
YR,F,LE_0,NO,2016,84.2
YR,F,LE_0,PL,2016,82.0
YR,F,LE_0,PT,2016,84.3
YR,F,LE_0,RO,2016,79.1
YR,F,LE_0,SE,2016,84.1
YR,F,LE_0,SI,2016,84.3
YR,F,LE_0,SK,2016,80.7
YR,F,LE_0,UK,2016,83.0
YR,M,LE_0,AT,2016,79.3
YR,M,LE_0,BE,2016,79.0
YR,M,LE_0,BG,2016,71.3
YR,M,LE_0,CH,2016,81.7
YR,M,LE_0,CY,2016,80.5
YR,M,LE_0,CZ,2016,76.1
YR,M,LE_0,DE,2016,78.6
YR,M,LE_0,DK,2016,79.0
YR,M,LE_0,EE,2016,73.3
YR,M,LE_0,EL,2016,78.9
YR,M,LE_0,ES,2016,80.5
YR,M,LE_0,EU27_2020,2016,78.0
YR,M,LE_0,EU28,2016,78.2
YR,M,LE_0,FI,2016,78.6
YR,M,LE_0,FR,2016,79.5
YR,M,LE_0,HR,2016,75.0
YR,M,LE_0,HU,2016,72.6
YR,M,LE_0,IE,2016,79.9
YR,M,LE_0,IS,2016,80.4
YR,M,LE_0,IT,2016,81.0
YR,M,LE_0,LT,2016,69.5
YR,M,LE_0,LU,2016,80.1
YR,M,LE_0,LV,2016,69.8
YR,M,LE_0,MT,2016,80.6
YR,M,LE_0,NL,2016,80.0
YR,M,LE_0,NO,2016,80.7
YR,M,LE_0,PL,2016,73.9
YR,M,LE_0,PT,2016,78.1
YR,M,LE_0,RO,2016,71.7
YR,M,LE_0,SE,2016,80.6
YR,M,LE_0,SI,2016,78.2
YR,M,LE_0,SK,2016,73.8
YR,M,LE_0,UK,2016,79.4
YR,F,LE_0,AT,2017,84.0
YR,F,LE_0,BE,2017,83.9
YR,F,LE_0,BG,2017,78.4
YR,F,LE_0,CH,2017,85.6
YR,F,LE_0,CY,2017,84.2
YR,F,LE_0,CZ,2017,82.0
YR,F,LE_0,DE,2017,83.4
YR,F,LE_0,DK,2017,83.1
YR,F,LE_0,EE,2017,82.6
YR,F,LE_0,EL,2017,83.9
YR,F,LE_0,ES,2017,86.1
YR,F,LE_0,EU27_2020,2017,83.6
YR,F,LE_0,EU28,2017,83.6
YR,F,LE_0,FI,2017,84.5
YR,F,LE_0,FR,2017,85.7
YR,F,LE_0,HR,2017,81.0
YR,F,LE_0,HU,2017,79.3
YR,F,LE_0,IE,2017,84.0
YR,F,LE_0,IS,2017,84.3
YR,F,LE_0,IT,2017,85.2
YR,F,LE_0,LT,2017,80.5
YR,F,LE_0,LU,2017,84.4
YR,F,LE_0,LV,2017,79.7
YR,F,LE_0,MT,2017,84.6
YR,F,LE_0,NL,2017,83.4
YR,F,LE_0,NO,2017,84.3
YR,F,LE_0,PL,2017,81.8
YR,F,LE_0,PT,2017,84.6
YR,F,LE_0,RO,2017,79.0
YR,F,LE_0,SE,2017,84.1
YR,F,LE_0,SI,2017,84.0
YR,F,LE_0,SK,2017,80.7
YR,F,LE_0,UK,2017,83.1
YR,M,LE_0,AT,2017,79.4
YR,M,LE_0,BE,2017,79.2
YR,M,LE_0,BG,2017,71.4
